"";"code_departement";"date_observation"
"1";"08";"2023-09-26"
"2";"10";"2023-09-25"
"3";"51";"2023-10-25"
"4";"52";"2023-10-23"
"5";"54";"2023-10-25"
"6";"55";"2023-09-25"
"7";"57";"2023-09-26"
"8";"67";"2023-10-26"
"9";"68";"2023-10-25"
"10";"88";"2023-10-25"
